,Author,Editor,Paper,Affiliation,CompanyUniversity,Decision,Opinion
65,Sanjeev Saxena,George Leih,A Synthesis of Several Sorting Algorithms.,UDL,University,Accepted,Too much boring.
66,Victor Khomenko,George Leih,A Synthesis of Several Sorting Algorithms.,Intel,Company,Accepted,Too much boring.
67,Robin Milner,George Leih,A Synthesis of Several Sorting Algorithms.,UPC,University,Accepted,Too much boring.
68,Hans Ulrich Simon,Walter J. Savitch,A Workload Model Representative of Static and Dynamic Characteristics.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
69,Oded Shmueli,Walter J. Savitch,A Workload Model Representative of Static and Dynamic Characteristics.,UPC,University,Accepted,Nice to know.
70,Sanjeev Saxena,Walter J. Savitch,A Workload Model Representative of Static and Dynamic Characteristics.,UPC,University,Denied,Nice to know.
71,Sanjeev Saxena,George Leih,Gray visiting Motzkins.,Intel,Company,Denied,Really good.
72,Walter Vogler,George Leih,Gray visiting Motzkins.,UPC,University,Accepted,Nice to know.
73,Juha Honkala,George Leih,Gray visiting Motzkins.,UPC,University,Accepted,Really good.
74,Hans Ulrich Simon,George Leih,Gray visiting Motzkins.,UPC,University,Accepted,"Nice paper, but not too much interesting."
75,Victor Khomenko,George Leih,Trace- and failure-based semantics for responsiveness.,Intel,Company,Accepted,Too much boring.
76,Maciej Koutny,George Leih,Trace- and failure-based semantics for responsiveness.,Microsoft,Company,Denied,Too much boring.
77,Sanjeev Saxena,George Leih,Trace- and failure-based semantics for responsiveness.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
78,Maciej Koutny,Karl Meinke,Branching Processes in the Analysis of the Heights of Trees.,UPC,University,Denied,Really good.
79,Juha Honkala,Karl Meinke,Branching Processes in the Analysis of the Heights of Trees.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
80,Norbert Blum,Karl Meinke,Branching Processes in the Analysis of the Heights of Trees.,UDL,University,Denied,Really good.
