,paper,reference
81,Efficient controller synthesis for a fragment of MTL,A Three-Stage Construction for Multiconnection Networks.
82,Two Notions of Correctness and Their Relation to Testing.,"Special issue on ""Combining Compositionality and Concurrency"": part 1."
83,Two Notions of Correctness and Their Relation to Testing.,Two Notions of Correctness and Their Relation to Testing.
84,Two Notions of Correctness and Their Relation to Testing.,On Efficient Entreeings.
85,Two Notions of Correctness and Their Relation to Testing.,A Synthesis of Several Sorting Algorithms.
86,Two Notions of Correctness and Their Relation to Testing.,Trace- and failure-based semantics for responsiveness.
87,Best Huffman Trees.,On an Equivalence between Continuation and Stack Semantics.
88,Best Huffman Trees.,On Removing the Machine from the Language.
89,Best Huffman Trees.,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.
90,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,Hex ist PSPACE-vollständig.
91,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,The Derivation of Systolic Implementations of Programs.
92,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,Equational weighted tree transformations.
93,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,Trace- and failure-based semantics for responsiveness.
94,The Parsing Problem for Affix Grammars.,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
95,The Parsing Problem for Affix Grammars.,Efficient controller synthesis for a fragment of MTL
96,The Parsing Problem for Affix Grammars.,NP-complete Problems Simplified on Tree Schemas.
97,The Parsing Problem for Affix Grammars.,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.
98,On Efficient Entreeings.,Computational Algorithms for Networks of Queues with Rejection Blocking.
99,On Efficient Entreeings.,On Removing the Machine from the Language.
100,On Efficient Entreeings.,Inductive Completion with Retracts.
101,On Efficient Entreeings.,A Synthesis of Several Sorting Algorithms.
102,Persistence of Vector Replacement Systems is Decidable.,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.
103,Persistence of Vector Replacement Systems is Decidable.,Persistence of Vector Replacement Systems is Decidable.
104,Persistence of Vector Replacement Systems is Decidable.,Inductive Completion with Retracts.
105,Persistence of Vector Replacement Systems is Decidable.,On the Power of Chain Rules in Context Free Grammars.
106,Persistence of Vector Replacement Systems is Decidable.,Gray visiting Motzkins.
107,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,Computational Algorithms for Networks of Queues with Rejection Blocking.
108,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,Best Huffman Trees.
109,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,Pattern Matching in Trees and Nets.
110,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
111,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,Branching Processes in the Analysis of the Heights of Trees.
112,Functional Behavior in Data Spaces.,Pattern Matching in Trees and Nets.
113,Functional Behavior in Data Spaces.,The Expressive Power of Delay Operators in SCCS.
114,Functional Behavior in Data Spaces.,A Synthesis of Several Sorting Algorithms.
115,Functional Behavior in Data Spaces.,Trace- and failure-based semantics for responsiveness.
116,Inductive Completion with Retracts.,On Removing the Machine from the Language.
117,Inductive Completion with Retracts.,The Derivation of Systolic Implementations of Programs.
118,Parallel Integer Sorting and Simulation Amongst CRCW Models.,Relational structures model of concurrency.
119,Parallel Integer Sorting and Simulation Amongst CRCW Models.,On an Equivalence between Continuation and Stack Semantics.
120,Parallel Integer Sorting and Simulation Amongst CRCW Models.,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
121,Parallel Integer Sorting and Simulation Amongst CRCW Models.,Best Huffman Trees.
122,Parallel Integer Sorting and Simulation Amongst CRCW Models.,A Synthesis of Several Sorting Algorithms.
123,Pattern Matching in Trees and Nets.,Hex ist PSPACE-vollständig.
124,Pattern Matching in Trees and Nets.,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.
125,Pattern Matching in Trees and Nets.,On the Power of Chain Rules in Context Free Grammars.
126,Pattern Matching in Trees and Nets.,Fifo Nets Without Order Deadlock.
127,Pattern Matching in Trees and Nets.,Trace- and failure-based semantics for responsiveness.
128,NP-complete Problems Simplified on Tree Schemas.,A theory of structural stationarity in the 
129,NP-complete Problems Simplified on Tree Schemas.,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
130,NP-complete Problems Simplified on Tree Schemas.,Functional Behavior in Data Spaces.
131,On the Power of Chain Rules in Context Free Grammars.,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
132,On the Power of Chain Rules in Context Free Grammars.,Best Huffman Trees.
133,On the Power of Chain Rules in Context Free Grammars.,The Derivation of Systolic Implementations of Programs.
134,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,A theory of structural stationarity in the 
135,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Disjunctivity and other properties of sets of pseudo-bordered words.
136,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,The Parsing Problem for Affix Grammars.
137,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
138,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,A characterization of rational D0L power series.
139,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,The Derivation of Systolic Implementations of Programs.
140,A characterization of rational D0L power series.,A theory of structural stationarity in the 
141,A characterization of rational D0L power series.,Relational structures model of concurrency.
142,A characterization of rational D0L power series.,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.
143,A characterization of rational D0L power series.,Calculi for Interaction.
144,A characterization of rational D0L power series.,Trace- and failure-based semantics for responsiveness.
145,The Derivation of Systolic Implementations of Programs.,"Special issue on ""Combining Compositionality and Concurrency"": part 1."
146,The Derivation of Systolic Implementations of Programs.,Two Notions of Correctness and Their Relation to Testing.
147,The Derivation of Systolic Implementations of Programs.,The Parsing Problem for Affix Grammars.
148,The Derivation of Systolic Implementations of Programs.,On Efficient Entreeings.
149,The Derivation of Systolic Implementations of Programs.,Inductive Completion with Retracts.
150,The Derivation of Systolic Implementations of Programs.,A Three-Stage Construction for Multiconnection Networks.
151,The Derivation of Systolic Implementations of Programs.,Calculi for Interaction.
152,The Derivation of Systolic Implementations of Programs.,A Workload Model Representative of Static and Dynamic Characteristics.
153,Fifo Nets Without Order Deadlock.,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.
154,Fifo Nets Without Order Deadlock.,"Invariants, Composition, and Substitution."
155,Fifo Nets Without Order Deadlock.,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.
156,Fifo Nets Without Order Deadlock.,Fifo Nets Without Order Deadlock.
157,Fifo Nets Without Order Deadlock.,A Workload Model Representative of Static and Dynamic Characteristics.
158,Fifo Nets Without Order Deadlock.,Trace- and failure-based semantics for responsiveness.
159,On the Complementation Rule for Multivalued Dependencies in Database Relations.,Disjunctivity and other properties of sets of pseudo-bordered words.
160,On the Complementation Rule for Multivalued Dependencies in Database Relations.,On an Equivalence between Continuation and Stack Semantics.
161,On the Complementation Rule for Multivalued Dependencies in Database Relations.,Complete Problems for Space Bounded Subclasses of NP.
162,On the Complementation Rule for Multivalued Dependencies in Database Relations.,NP-complete Problems Simplified on Tree Schemas.
163,On the Complementation Rule for Multivalued Dependencies in Database Relations.,Trace- and failure-based semantics for responsiveness.
164,Equational weighted tree transformations.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
165,Equational weighted tree transformations.,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
166,Equational weighted tree transformations.,Compositional Refinements in Multiple Blackboard Systems.
167,Equational weighted tree transformations.,Complete Problems for Space Bounded Subclasses of NP.
168,Equational weighted tree transformations.,Functional Behavior in Data Spaces.
169,Equational weighted tree transformations.,The Expressive Power of Delay Operators in SCCS.
170,Merged processes: a new condensed representation of Petri net behaviour.,Hex ist PSPACE-vollständig.
171,Merged processes: a new condensed representation of Petri net behaviour.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
172,Merged processes: a new condensed representation of Petri net behaviour.,Best Huffman Trees.
173,Merged processes: a new condensed representation of Petri net behaviour.,NP-complete Problems Simplified on Tree Schemas.
174,Merged processes: a new condensed representation of Petri net behaviour.,Equational weighted tree transformations.
175,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,On an Equivalence between Continuation and Stack Semantics.
176,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,The Parsing Problem for Affix Grammars.
177,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,NP-complete Problems Simplified on Tree Schemas.
178,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
179,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,A Synthesis of Several Sorting Algorithms.
180,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,Trace- and failure-based semantics for responsiveness.
181,A Three-Stage Construction for Multiconnection Networks.,Hex ist PSPACE-vollständig.
182,A Three-Stage Construction for Multiconnection Networks.,A Note on the Density of Inherently Ambiguous Context-free Languages.
183,A Three-Stage Construction for Multiconnection Networks.,"Special issue on ""Combining Compositionality and Concurrency"": part 1."
184,A Three-Stage Construction for Multiconnection Networks.,On Removing the Machine from the Language.
185,A Three-Stage Construction for Multiconnection Networks.,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.
186,A Three-Stage Construction for Multiconnection Networks.,A Workload Model Representative of Static and Dynamic Characteristics.
187,The Expressive Power of Delay Operators in SCCS.,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.
188,The Expressive Power of Delay Operators in SCCS.,"Special issue on ""Combining Compositionality and Concurrency"": part 1."
189,The Expressive Power of Delay Operators in SCCS.,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
190,The Expressive Power of Delay Operators in SCCS.,Trace- and failure-based semantics for responsiveness.
191,Calculi for Interaction.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
192,Calculi for Interaction.,Computational Algorithms for Networks of Queues with Rejection Blocking.
193,Calculi for Interaction.,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.
194,Calculi for Interaction.,The Parsing Problem for Affix Grammars.
195,Calculi for Interaction.,On Efficient Entreeings.
196,Calculi for Interaction.,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.
197,Calculi for Interaction.,Merged processes: a new condensed representation of Petri net behaviour.
198,Calculi for Interaction.,A Three-Stage Construction for Multiconnection Networks.
199,A Synthesis of Several Sorting Algorithms.,On an Equivalence between Continuation and Stack Semantics.
200,A Synthesis of Several Sorting Algorithms.,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.
201,A Synthesis of Several Sorting Algorithms.,Equational weighted tree transformations.
202,A Workload Model Representative of Static and Dynamic Characteristics.,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.
203,A Workload Model Representative of Static and Dynamic Characteristics.,"Invariants, Composition, and Substitution."
204,A Workload Model Representative of Static and Dynamic Characteristics.,Automatic verification of concurrent systems using a formula-based compositional approach.
205,A Workload Model Representative of Static and Dynamic Characteristics.,Efficient controller synthesis for a fragment of MTL
206,A Workload Model Representative of Static and Dynamic Characteristics.,The Parsing Problem for Affix Grammars.
207,A Workload Model Representative of Static and Dynamic Characteristics.,Pattern Matching in Trees and Nets.
208,A Workload Model Representative of Static and Dynamic Characteristics.,The Derivation of Systolic Implementations of Programs.
209,A Workload Model Representative of Static and Dynamic Characteristics.,A Synthesis of Several Sorting Algorithms.
210,A Workload Model Representative of Static and Dynamic Characteristics.,A Workload Model Representative of Static and Dynamic Characteristics.
211,A Workload Model Representative of Static and Dynamic Characteristics.,Gray visiting Motzkins.
212,Gray visiting Motzkins.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
213,Gray visiting Motzkins.,A Note on the Density of Inherently Ambiguous Context-free Languages.
214,Gray visiting Motzkins.,Computational Algorithms for Networks of Queues with Rejection Blocking.
215,Gray visiting Motzkins.,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
216,Trace- and failure-based semantics for responsiveness.,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.
217,Trace- and failure-based semantics for responsiveness.,Compositional Refinements in Multiple Blackboard Systems.
218,Trace- and failure-based semantics for responsiveness.,Efficient controller synthesis for a fragment of MTL
219,Trace- and failure-based semantics for responsiveness.,Best Huffman Trees.
220,Trace- and failure-based semantics for responsiveness.,NP-complete Problems Simplified on Tree Schemas.
221,Trace- and failure-based semantics for responsiveness.,Equational weighted tree transformations.
222,Trace- and failure-based semantics for responsiveness.,A Workload Model Representative of Static and Dynamic Characteristics.
223,Branching Processes in the Analysis of the Heights of Trees.,Two Notions of Correctness and Their Relation to Testing.
224,Branching Processes in the Analysis of the Heights of Trees.,A Workload Model Representative of Static and Dynamic Characteristics.
