,paper,reference
22,Modelling higher-order dual nondeterminacy.,Dispatcher Primitives for the Construction of Operating System Kernels.
23,Modelling higher-order dual nondeterminacy.,Regular and context-free nominal traces.
24,Modelling higher-order dual nondeterminacy.,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.
25,Modelling higher-order dual nondeterminacy.,Synchronized regular expressions.
26,Modelling higher-order dual nondeterminacy.,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
27,Modelling higher-order dual nondeterminacy.,On Removing the Machine from the Language.
28,Dispatcher Primitives for the Construction of Operating System Kernels.,A Note on Multihead Automata and Context-Sensitive Languages
29,Dispatcher Primitives for the Construction of Operating System Kernels.,On Parallel Integer Sorting.
30,Dispatcher Primitives for the Construction of Operating System Kernels.,Optimizing the Costs of Hierarchical Quorum Consensus.
31,Dispatcher Primitives for the Construction of Operating System Kernels.,Program Refinement in Fair Transition Systems.
32,Dispatcher Primitives for the Construction of Operating System Kernels.,A Synthesis of Several Sorting Algorithms.
33,Dispatcher Primitives for the Construction of Operating System Kernels.,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.
34,Dispatcher Primitives for the Construction of Operating System Kernels.,Compositional Refinements in Multiple Blackboard Systems.
35,Dispatcher Primitives for the Construction of Operating System Kernels.,On Efficient Entreeings.
36,A Note on Multihead Automata and Context-Sensitive Languages,Contextual Nets.
37,A Note on Multihead Automata and Context-Sensitive Languages,Behavioural Approaches to Algebraic Specifications: A Comparative Study.
38,A Note on Multihead Automata and Context-Sensitive Languages,Program Refinement in Fair Transition Systems.
39,A Note on Multihead Automata and Context-Sensitive Languages,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.
40,A Note on Multihead Automata and Context-Sensitive Languages,A theory of formal synthesis via inductive learning.
41,A Note on Multihead Automata and Context-Sensitive Languages,Sur une Conjecture de S. Greibach.
42,A Note on Multihead Automata and Context-Sensitive Languages,Does indirect addressing matter? - A note.
43,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.
44,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,Another Polynomial Homomorphism.
45,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,The Construction of Operator Interfaces Based on Logical Input Devices.
46,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,Data Refinement by Calculation.
47,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,Sur une Conjecture de S. Greibach.
48,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems."
49,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,On the Power of Chain Rules in Context Free Grammars.
50,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.
51,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,On Efficient Entreeings.
52,Compositional schedulability analysis of real-time actor-based systems.,Contextual Nets.
53,Compositional schedulability analysis of real-time actor-based systems.,COSY - A System Specification Language Based on Paths and Processes.
54,Compositional schedulability analysis of real-time actor-based systems.,Bounded Quantification and Relations Recognizable by Finite Automata.
55,Compositional schedulability analysis of real-time actor-based systems.,A Complete Algebraic Characterization of Behavioral Subtyping.
56,Compositional schedulability analysis of real-time actor-based systems.,Explaining the Wheel Sieve.
57,Compositional schedulability analysis of real-time actor-based systems.,State complexity of deletion and bipolar deletion.
58,Compositional schedulability analysis of real-time actor-based systems.,Regular and context-free nominal traces.
59,Compositional schedulability analysis of real-time actor-based systems.,State space axioms for T-systems.
60,Compositional schedulability analysis of real-time actor-based systems.,Program Refinement in Fair Transition Systems.
61,Compositional schedulability analysis of real-time actor-based systems.,A theory of formal synthesis via inductive learning.
62,Compositional schedulability analysis of real-time actor-based systems.,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems."
63,Compositional schedulability analysis of real-time actor-based systems.,Does indirect addressing matter? - A note.
64,Compositional schedulability analysis of real-time actor-based systems.,Trace Nets and Process Automata.
65,Compositional schedulability analysis of real-time actor-based systems.,NP-complete Problems Simplified on Tree Schemas.
66,Compositional schedulability analysis of real-time actor-based systems.,Fifo Nets Without Order Deadlock.
67,Compositional schedulability analysis of real-time actor-based systems.,Equational weighted tree transformations.
68,Compositional schedulability analysis of real-time actor-based systems.,A Three-Stage Construction for Multiconnection Networks.
69,Compositional schedulability analysis of real-time actor-based systems.,A theory of structural stationarity in the 
70,Compositional schedulability analysis of real-time actor-based systems.,"Special issue on ""Combining Compositionality and Concurrency"": part 1."
71,Compositional schedulability analysis of real-time actor-based systems.,On Removing the Machine from the Language.
72,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.
73,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,STG decomposition strategies in combination with unfolding.
74,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,Optimizing the Costs of Hierarchical Quorum Consensus.
75,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.
76,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,State space axioms for T-systems.
77,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,A general account of coinduction up-to.
78,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,Pattern Matching in Trees and Nets.
79,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,NP-complete Problems Simplified on Tree Schemas.
80,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
81,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,Relational structures model of concurrency.
82,Worst Case Performance of Weighted Buddy Systems.,Modelling higher-order dual nondeterminacy.
83,Worst Case Performance of Weighted Buddy Systems.,Dispatcher Primitives for the Construction of Operating System Kernels.
84,Worst Case Performance of Weighted Buddy Systems.,Bounded Quantification and Relations Recognizable by Finite Automata.
85,Worst Case Performance of Weighted Buddy Systems.,Concurrent Bisimulations in Petri Nets.
86,Worst Case Performance of Weighted Buddy Systems.,Data Refinement by Calculation.
87,Worst Case Performance of Weighted Buddy Systems.,How to Calculate Symmetries of Petri Nets.
88,Worst Case Performance of Weighted Buddy Systems.,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems."
89,Worst Case Performance of Weighted Buddy Systems.,An Efficiency Preorder for Processes.
90,Worst Case Performance of Weighted Buddy Systems.,Synchronized regular expressions.
91,Worst Case Performance of Weighted Buddy Systems.,Maintaining Range Trees in Secondary Memory. Part I: Partitions.
92,Worst Case Performance of Weighted Buddy Systems.,A characterization of rational D0L power series.
93,Worst Case Performance of Weighted Buddy Systems.,A Workload Model Representative of Static and Dynamic Characteristics.
94,Worst Case Performance of Weighted Buddy Systems.,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
95,Worst Case Performance of Weighted Buddy Systems.,Two Notions of Correctness and Their Relation to Testing.
96,Worst Case Performance of Weighted Buddy Systems.,Persistence of Vector Replacement Systems is Decidable.
97,Contextual Nets.,Instruction sequence processing operators.
98,Contextual Nets.,The Construction of Operator Interfaces Based on Logical Input Devices.
99,Contextual Nets.,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
100,Contextual Nets.,Relational structures model of concurrency.
101,Contextual Nets.,On Efficient Entreeings.
102,COSY - A System Specification Language Based on Paths and Processes.,COSY - A System Specification Language Based on Paths and Processes.
103,COSY - A System Specification Language Based on Paths and Processes.,Domain Independence and the Relational Calculus.
104,COSY - A System Specification Language Based on Paths and Processes.,Instruction sequence processing operators.
105,COSY - A System Specification Language Based on Paths and Processes.,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.
106,COSY - A System Specification Language Based on Paths and Processes.,Regular and context-free nominal traces.
107,COSY - A System Specification Language Based on Paths and Processes.,Optimizing the Costs of Hierarchical Quorum Consensus.
108,COSY - A System Specification Language Based on Paths and Processes.,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.
109,COSY - A System Specification Language Based on Paths and Processes.,On weighted first-order logics with discounting.
110,COSY - A System Specification Language Based on Paths and Processes.,Maintaining Range Trees in Secondary Memory. Part I: Partitions.
111,COSY - A System Specification Language Based on Paths and Processes.,A Synthesis of Several Sorting Algorithms.
112,COSY - A System Specification Language Based on Paths and Processes.,"Invariants, Composition, and Substitution."
113,COSY - A System Specification Language Based on Paths and Processes.,Maximum Entropy and the 
114,COSY - A System Specification Language Based on Paths and Processes.,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
115,COSY - A System Specification Language Based on Paths and Processes.,Relational structures model of concurrency.
116,Applying relation algebra and Rel View to solve problems on orders and lattices.,Applying relation algebra and Rel View to solve problems on orders and lattices.
117,Applying relation algebra and Rel View to solve problems on orders and lattices.,Behavioural Approaches to Algebraic Specifications: A Comparative Study.
118,Applying relation algebra and Rel View to solve problems on orders and lattices.,Representation and uniformization of algebraic transductions.
119,Applying relation algebra and Rel View to solve problems on orders and lattices.,Concurrent Bisimulations in Petri Nets.
120,Applying relation algebra and Rel View to solve problems on orders and lattices.,Enhanced prefetching and caching strategies for single- and multi-disk systems.
121,Applying relation algebra and Rel View to solve problems on orders and lattices.,Algorithms for Fast Evaluation of Boolean Expressions.
122,Applying relation algebra and Rel View to solve problems on orders and lattices.,Pattern Matching in Trees and Nets.
123,Applying relation algebra and Rel View to solve problems on orders and lattices.,Fifo Nets Without Order Deadlock.
124,Applying relation algebra and Rel View to solve problems on orders and lattices.,Calculi for Interaction.
125,Applying relation algebra and Rel View to solve problems on orders and lattices.,A Synthesis of Several Sorting Algorithms.
126,Applying relation algebra and Rel View to solve problems on orders and lattices.,Trace- and failure-based semantics for responsiveness.
127,Eliminating Unit Productions from LR Parsers.,Bounded Quantification and Relations Recognizable by Finite Automata.
128,Eliminating Unit Productions from LR Parsers.,Optimizing the Costs of Hierarchical Quorum Consensus.
129,Eliminating Unit Productions from LR Parsers.,Automatic Correction of Syntax-Errors in Programming Languages.
130,Eliminating Unit Productions from LR Parsers.,Context-Free Graph Grammars and Concatenation of Graphs.
131,Eliminating Unit Productions from LR Parsers.,On regular tree languages and deterministic pushdown automata.
132,Eliminating Unit Productions from LR Parsers.,Maintaining Range Trees in Secondary Memory. Part I: Partitions.
133,Eliminating Unit Productions from LR Parsers.,On Removing the Machine from the Language.
134,Attribute (Re)evaluation in OPTRAN.,Worst Case Performance of Weighted Buddy Systems.
135,Attribute (Re)evaluation in OPTRAN.,Contextual Nets.
136,Attribute (Re)evaluation in OPTRAN.,COSY - A System Specification Language Based on Paths and Processes.
137,Attribute (Re)evaluation in OPTRAN.,Attribute (Re)evaluation in OPTRAN.
138,Attribute (Re)evaluation in OPTRAN.,Domain Independence and the Relational Calculus.
139,Attribute (Re)evaluation in OPTRAN.,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.
140,Attribute (Re)evaluation in OPTRAN.,Gobang ist PSPACE-vollständig.
141,Attribute (Re)evaluation in OPTRAN.,Representation and uniformization of algebraic transductions.
142,Attribute (Re)evaluation in OPTRAN.,Infinite Proof Rules for Loops.
143,Attribute (Re)evaluation in OPTRAN.,Nonfinite Axiomatizability of the Equational Theory of Shuffle.
144,Attribute (Re)evaluation in OPTRAN.,Data Refinement by Calculation.
145,Attribute (Re)evaluation in OPTRAN.,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.
146,Attribute (Re)evaluation in OPTRAN.,Fifo Nets Without Order Deadlock.
147,Attribute (Re)evaluation in OPTRAN.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
148,Attribute (Re)evaluation in OPTRAN.,"Invariants, Composition, and Substitution."
149,Attribute (Re)evaluation in OPTRAN.,Disjunctivity and other properties of sets of pseudo-bordered words.
150,Attribute (Re)evaluation in OPTRAN.,A Note on the Density of Inherently Ambiguous Context-free Languages.
151,Attribute (Re)evaluation in OPTRAN.,Complete Problems for Space Bounded Subclasses of NP.
152,On Parallel Integer Sorting.,Modeling Splits in File Structures.
153,On Parallel Integer Sorting.,On regular tree languages and deterministic pushdown automata.
154,On Parallel Integer Sorting.,Does indirect addressing matter? - A note.
155,On Parallel Integer Sorting.,Trace Nets and Process Automata.
156,On Parallel Integer Sorting.,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.
157,Domain Independence and the Relational Calculus.,On Parallel Integer Sorting.
158,Domain Independence and the Relational Calculus.,Behavioural Approaches to Algebraic Specifications: A Comparative Study.
159,Domain Independence and the Relational Calculus.,Variance Reduction Techniques for the Simulation of Markov Process.
160,Domain Independence and the Relational Calculus.,Regular and context-free nominal traces.
161,Domain Independence and the Relational Calculus.,Special issue: Synthesis and SYNT 2014.
162,Domain Independence and the Relational Calculus.,Data Refinement by Calculation.
163,Domain Independence and the Relational Calculus.,Program Refinement in Fair Transition Systems.
164,Domain Independence and the Relational Calculus.,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems."
165,Domain Independence and the Relational Calculus.,A Modal Logic for Message Passing Processes.
166,Domain Independence and the Relational Calculus.,Maintaining Range Trees in Secondary Memory. Part I: Partitions.
167,Domain Independence and the Relational Calculus.,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.
168,Domain Independence and the Relational Calculus.,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
169,Domain Independence and the Relational Calculus.,Relational structures model of concurrency.
170,Domain Independence and the Relational Calculus.,Computational Algorithms for Networks of Queues with Rejection Blocking.
171,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Complete Parameterized Families of Job Scheduling Strategies.
172,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Domain Independence and the Relational Calculus.
173,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.
174,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Another Polynomial Homomorphism.
175,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Gobang ist PSPACE-vollständig.
176,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,A Conservation Law for G/G/m Queueing Systems.
177,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Context-Free Graph Grammars and Concatenation of Graphs.
178,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,A Comparison of Two Synchronizing Concepts.
179,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,The Synthesis Problem of Petri Nets.
180,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,A theory of structural stationarity in the 
181,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Relational structures model of concurrency.
182,Bounded Quantification and Relations Recognizable by Finite Automata.,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.
183,Bounded Quantification and Relations Recognizable by Finite Automata.,Data Encodings and Their Costs.
184,Bounded Quantification and Relations Recognizable by Finite Automata.,A general account of coinduction up-to.
185,Bounded Quantification and Relations Recognizable by Finite Automata.,Maximum Entropy and the 
186,Bounded Quantification and Relations Recognizable by Finite Automata.,A theory of structural stationarity in the 
187,Bounded Quantification and Relations Recognizable by Finite Automata.,Automatic verification of concurrent systems using a formula-based compositional approach.
188,A Complete Algebraic Characterization of Behavioral Subtyping.,Dispatcher Primitives for the Construction of Operating System Kernels.
189,A Complete Algebraic Characterization of Behavioral Subtyping.,Probabilistic bisimulation for realistic schedulers.
190,A Complete Algebraic Characterization of Behavioral Subtyping.,State space axioms for T-systems.
191,A Complete Algebraic Characterization of Behavioral Subtyping.,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.
192,A Complete Algebraic Characterization of Behavioral Subtyping.,An Efficiency Preorder for Processes.
193,A Complete Algebraic Characterization of Behavioral Subtyping.,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.
194,A Complete Algebraic Characterization of Behavioral Subtyping.,Equational weighted tree transformations.
195,A Complete Algebraic Characterization of Behavioral Subtyping.,Branching Processes in the Analysis of the Heights of Trees.
196,A Complete Algebraic Characterization of Behavioral Subtyping.,Maximum Entropy and the 
197,A Complete Algebraic Characterization of Behavioral Subtyping.,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.
198,A Complete Algebraic Characterization of Behavioral Subtyping.,Functional Behavior in Data Spaces.
199,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Complete Parameterized Families of Job Scheduling Strategies.
200,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Applying relation algebra and Rel View to solve problems on orders and lattices.
201,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Behavioural Approaches to Algebraic Specifications: A Comparative Study.
202,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,STG decomposition strategies in combination with unfolding.
203,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Probabilistic bisimulation for realistic schedulers.
204,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Gobang ist PSPACE-vollständig.
205,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,A note on autodense related languages.
206,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,On the Look-Ahead Problem in Lexical Analysis.
207,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Algorithms for Fast Evaluation of Boolean Expressions.
208,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.
209,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Reasoning Algebraically about Loops.
210,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Metric propositional neighborhood logic with an equivalence relation.
211,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,The Derivation of Systolic Implementations of Programs.
212,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
213,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.
214,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Computational Algorithms for Networks of Queues with Rejection Blocking.
215,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Inductive Completion with Retracts.
216,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Another Polynomial Homomorphism.
217,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Regular and context-free nominal traces.
218,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,On the Look-Ahead Problem in Lexical Analysis.
219,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Algorithms for Fast Evaluation of Boolean Expressions.
220,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.
221,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.
222,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
223,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Automatic verification of concurrent systems using a formula-based compositional approach.
224,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Inductive Completion with Retracts.
225,Instruction sequence processing operators.,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.
226,Instruction sequence processing operators.,Weakly Context-Sensitive Languages as Model for Programming Languages.
227,Instruction sequence processing operators.,Algorithms for Fast Evaluation of Boolean Expressions.
228,Instruction sequence processing operators.,Maximum Entropy and the 
229,Instruction sequence processing operators.,A theory of structural stationarity in the 
230,What is Failure? An Approach to Constructive Negation.,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.
231,What is Failure? An Approach to Constructive Negation.,Compositional schedulability analysis of real-time actor-based systems.
232,What is Failure? An Approach to Constructive Negation.,COSY - A System Specification Language Based on Paths and Processes.
233,What is Failure? An Approach to Constructive Negation.,Weakly Context-Sensitive Languages as Model for Programming Languages.
234,What is Failure? An Approach to Constructive Negation.,Automatic Correction of Syntax-Errors in Programming Languages.
235,What is Failure? An Approach to Constructive Negation.,A Conservation Law for G/G/m Queueing Systems.
236,What is Failure? An Approach to Constructive Negation.,Context-Free Graph Grammars and Concatenation of Graphs.
237,What is Failure? An Approach to Constructive Negation.,A Modal Logic for Message Passing Processes.
238,What is Failure? An Approach to Constructive Negation.,Merged processes: a new condensed representation of Petri net behaviour.
239,What is Failure? An Approach to Constructive Negation.,A Three-Stage Construction for Multiconnection Networks.
240,What is Failure? An Approach to Constructive Negation.,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.
241,What is Failure? An Approach to Constructive Negation.,A Note on the Density of Inherently Ambiguous Context-free Languages.
242,What is Failure? An Approach to Constructive Negation.,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.
243,STG decomposition strategies in combination with unfolding.,STG decomposition strategies in combination with unfolding.
244,STG decomposition strategies in combination with unfolding.,State space axioms for T-systems.
245,STG decomposition strategies in combination with unfolding.,Sur une Conjecture de S. Greibach.
246,STG decomposition strategies in combination with unfolding.,Modeling Splits in File Structures.
247,STG decomposition strategies in combination with unfolding.,Fifo Nets Without Order Deadlock.
248,STG decomposition strategies in combination with unfolding.,Relational structures model of concurrency.
249,STG decomposition strategies in combination with unfolding.,Automatic verification of concurrent systems using a formula-based compositional approach.
250,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Eliminating Unit Productions from LR Parsers.
251,Quad Trees: A Data Structure for Retrieval on Composite Keys.,The Construction of Operator Interfaces Based on Logical Input Devices.
252,Quad Trees: A Data Structure for Retrieval on Composite Keys.,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.
253,Quad Trees: A Data Structure for Retrieval on Composite Keys.,On the Look-Ahead Problem in Lexical Analysis.
254,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Type-based information flow analysis for the pi-calculus.
255,Quad Trees: A Data Structure for Retrieval on Composite Keys.,On weighted first-order logics with discounting.
256,Quad Trees: A Data Structure for Retrieval on Composite Keys.,"Demonic, angelic and unbounded probabilistic choices in sequential programs."
257,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Modeling Splits in File Structures.
258,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Persistence of Vector Replacement Systems is Decidable.
259,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,Bounded Quantification and Relations Recognizable by Finite Automata.
260,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.
261,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,Explaining the Wheel Sieve.
262,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.
263,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,Weakly Context-Sensitive Languages as Model for Programming Languages.
264,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,Concurrent Bisimulations in Petri Nets.
265,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,"Running a job on a collection of partly available machines, with on-line restarts."
266,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,A general account of coinduction up-to.
267,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,A Modal Logic for Message Passing Processes.
268,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,Maintaining Range Trees in Secondary Memory. Part I: Partitions.
269,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,Merged processes: a new condensed representation of Petri net behaviour.
270,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,Branching Processes in the Analysis of the Heights of Trees.
271,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.
272,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,"Invariants, Composition, and Substitution."
273,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,A theory of structural stationarity in the 
274,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,A Note on the Density of Inherently Ambiguous Context-free Languages.
275,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,Does indirect addressing matter? - A note.
276,Probabilistic bisimulation for realistic schedulers.,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.
277,Probabilistic bisimulation for realistic schedulers.,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.
278,Probabilistic bisimulation for realistic schedulers.,Another Polynomial Homomorphism.
279,Probabilistic bisimulation for realistic schedulers.,The Construction of Operator Interfaces Based on Logical Input Devices.
