,Author,Editor,Paper,Affiliation,CompanyUniversity,Decision,Opinion
52,Arnold Schönhage,Joseph M. Morris,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,Intel,Company,Denied,"Nice paper, but not too much interesting."
53,Vincent Vajnovszki,Jürgen Nehmer,A Three-Stage Construction for Multiconnection Networks.,UPC,University,Accepted,Nice to know.
54,Oded Shmueli,Jürgen Nehmer,A Three-Stage Construction for Multiconnection Networks.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
55,Hans Ulrich Simon,Jürgen Nehmer,A Three-Stage Construction for Multiconnection Networks.,Intel,Company,Denied,Too much boring.
56,Ernst-Rüdiger Olderog,Jürgen Nehmer,A Three-Stage Construction for Multiconnection Networks.,UDL,University,Accepted,Too much boring.
57,Hans Ulrich Simon,Jürgen Nehmer,A Three-Stage Construction for Multiconnection Networks.,UDL,University,Accepted,"Nice paper, but not too much interesting."
58,Juha Honkala,Jürgen Nehmer,A Three-Stage Construction for Multiconnection Networks.,UDL,University,Denied,Really good.
59,Rob J. van Glabbeek,Jürgen Nehmer,A Three-Stage Construction for Multiconnection Networks.,UDL,University,Denied,Nice to know.
60,Oded Shmueli,Jürgen Nehmer,A Three-Stage Construction for Multiconnection Networks.,UDL,University,Accepted,"Nice paper, but not too much interesting."
61,Nathan Goodman,Jürgen Nehmer,A Three-Stage Construction for Multiconnection Networks.,UDL,University,Accepted,"Nice paper, but not too much interesting."
62,Arnold Schönhage,Jürgen Nehmer,A Three-Stage Construction for Multiconnection Networks.,Microsoft,Company,Denied,Really good.
63,Yijie Han,Jürgen Nehmer,The Expressive Power of Delay Operators in SCCS.,UDL,University,Denied,"Nice paper, but not too much interesting."
64,Norbert Blum,Jürgen Nehmer,The Expressive Power of Delay Operators in SCCS.,UPC,University,Accepted,Really good.
65,Oded Shmueli,Jürgen Nehmer,The Expressive Power of Delay Operators in SCCS.,Intel,Company,Accepted,Really good.
66,Antonella Santone,Jürgen Nehmer,The Expressive Power of Delay Operators in SCCS.,UDL,University,Denied,"Nice paper, but not too much interesting."
67,Walter Vogler,Jürgen Nehmer,The Expressive Power of Delay Operators in SCCS.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
68,Hans Ulrich Simon,Jürgen Nehmer,The Expressive Power of Delay Operators in SCCS.,Microsoft,Company,Denied,Nice to know.
69,Hans Ulrich Simon,Jürgen Nehmer,Calculi for Interaction.,UPC,University,Accepted,Nice to know.
70,Christian Lengauer,Jürgen Nehmer,Calculi for Interaction.,Microsoft,Company,Accepted,Really good.
71,Antonella Santone,Jürgen Nehmer,Calculi for Interaction.,Intel,Company,Denied,"Nice paper, but not too much interesting."
72,Stefan Reisch,Jürgen Nehmer,Calculi for Interaction.,Intel,Company,Denied,Really good.
73,Walter Vogler,Jürgen Nehmer,Calculi for Interaction.,UDL,University,Accepted,Too much boring.
74,Juha Honkala,Jürgen Nehmer,Calculi for Interaction.,UPC,University,Denied,Really good.
75,Oded Shmueli,Jürgen Nehmer,Calculi for Interaction.,UPC,University,Denied,Nice to know.
76,Norbert Blum,Jürgen Nehmer,Calculi for Interaction.,UDL,University,Accepted,Nice to know.
77,Arnold Schönhage,Jürgen Nehmer,Calculi for Interaction.,UPC,University,Denied,Nice to know.
78,Ekkart Kindler,Jürgen Nehmer,Calculi for Interaction.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
79,Arnold Schönhage,Joseph M. Morris,A Synthesis of Several Sorting Algorithms.,Intel,Company,Accepted,Too much boring.
80,Juha Honkala,Joseph M. Morris,A Synthesis of Several Sorting Algorithms.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
81,Hans Ulrich Simon,Joseph M. Morris,A Synthesis of Several Sorting Algorithms.,UDL,University,Denied,Too much boring.
82,Arnold Schönhage,Joseph M. Morris,A Synthesis of Several Sorting Algorithms.,Microsoft,Company,Accepted,Nice to know.
83,Hans Ulrich Simon,Patrick Cousot,A Workload Model Representative of Static and Dynamic Characteristics.,UDL,University,Accepted,Too much boring.
84,Alex Kondratyev,Patrick Cousot,A Workload Model Representative of Static and Dynamic Characteristics.,Intel,Company,Denied,Really good.
85,Oded Shmueli,Patrick Cousot,A Workload Model Representative of Static and Dynamic Characteristics.,UDL,University,Denied,Nice to know.
86,Arnold Schönhage,Isi Mitrani,Gray visiting Motzkins.,UPC,University,Accepted,Really good.
87,Juha Honkala,Isi Mitrani,Gray visiting Motzkins.,Microsoft,Company,Accepted,Really good.
88,Antonella Santone,Isi Mitrani,Gray visiting Motzkins.,UPC,University,Denied,Really good.
89,Yijie Han,Isi Mitrani,Gray visiting Motzkins.,UDL,University,Accepted,"Nice paper, but not too much interesting."
90,Hans Ulrich Simon,Jürgen Nehmer,Trace- and failure-based semantics for responsiveness.,UDL,University,Denied,Really good.
91,Arnold Schönhage,Jürgen Nehmer,Trace- and failure-based semantics for responsiveness.,Intel,Company,Denied,Too much boring.
92,Rob J. van Glabbeek,Jürgen Nehmer,Trace- and failure-based semantics for responsiveness.,UDL,University,Denied,"Nice paper, but not too much interesting."
93,Juha Honkala,Joseph M. Morris,Branching Processes in the Analysis of the Heights of Trees.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
94,Oded Shmueli,Joseph M. Morris,Branching Processes in the Analysis of the Heights of Trees.,UDL,University,Denied,Nice to know.
95,Sanjeev Saxena,Joseph M. Morris,Least Upper Bound on the Cost of Optimum Binary Search Trees.,UDL,University,Accepted,Too much boring.
96,Carlo Montangero,Joseph M. Morris,Least Upper Bound on the Cost of Optimum Binary Search Trees.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
97,Norbert Blum,Jürgen Nehmer,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,UDL,University,Denied,Nice to know.
98,John Darlington,Jürgen Nehmer,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,Microsoft,Company,Denied,Nice to know.
99,Arnold Schönhage,Jürgen Nehmer,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,Intel,Company,Denied,Too much boring.
100,Antonella Santone,Jürgen Nehmer,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,Intel,Company,Accepted,Too much boring.
101,Rob J. van Glabbeek,Jürgen Nehmer,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
102,Sanjeev Saxena,Jürgen Nehmer,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,UDL,University,Denied,"Nice paper, but not too much interesting."
103,Demetres D. Kouvatsos,Jürgen Nehmer,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,UPC,University,Accepted,"Nice paper, but not too much interesting."
104,Nathan Goodman,Jürgen Nehmer,"Invariants, Composition, and Substitution.",Intel,Company,Denied,Nice to know.
105,Juha Honkala,Jürgen Nehmer,"Invariants, Composition, and Substitution.",UDL,University,Denied,"Nice paper, but not too much interesting."
106,Arnold Schönhage,Jürgen Nehmer,"Invariants, Composition, and Substitution.",UPC,University,Denied,"Nice paper, but not too much interesting."
107,Oded Shmueli,Jürgen Nehmer,"Invariants, Composition, and Substitution.",Microsoft,Company,Denied,Nice to know.
108,Norbert Blum,Patrick Cousot,Maximum Entropy and the ,UPC,University,Denied,Too much boring.
109,Horst von Brand,Patrick Cousot,Maximum Entropy and the ,Intel,Company,Denied,"Nice paper, but not too much interesting."
110,Sanjeev Saxena,Patrick Cousot,Maximum Entropy and the ,Microsoft,Company,Accepted,Really good.
111,Arnold Schönhage,Patrick Cousot,Maximum Entropy and the ,UPC,University,Denied,"Nice paper, but not too much interesting."
112,Juha Honkala,Patrick Cousot,Maximum Entropy and the ,Intel,Company,Denied,Nice to know.
113,John Darlington,Joseph M. Morris,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,UPC,University,Accepted,Too much boring.
114,Arnold Schönhage,Joseph M. Morris,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,UDL,University,Denied,Nice to know.
115,Nathan Goodman,Joseph M. Morris,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,UDL,University,Accepted,Really good.
116,Norbert Blum,Joseph M. Morris,A theory of structural stationarity in the ,UPC,University,Denied,"Nice paper, but not too much interesting."
117,Ursula Goltz,Joseph M. Morris,A theory of structural stationarity in the ,Intel,Company,Denied,"Nice paper, but not too much interesting."
118,Norbert Blum,Joseph M. Morris,A theory of structural stationarity in the ,Microsoft,Company,Denied,Too much boring.
119,Yijie Han,Patrick Cousot,Hex ist PSPACE-vollständig.,Microsoft,Company,Denied,Nice to know.
120,Sanjeev Saxena,Patrick Cousot,Hex ist PSPACE-vollständig.,UDL,University,Denied,Really good.
121,Arnold Schönhage,Patrick Cousot,Hex ist PSPACE-vollständig.,Intel,Company,Denied,Too much boring.
122,Alex Kondratyev,Joseph M. Morris,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,Microsoft,Company,Denied,Really good.
123,Norbert Blum,Joseph M. Morris,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,Microsoft,Company,Denied,Really good.
124,Hans Ulrich Simon,Joseph M. Morris,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,UPC,University,Accepted,"Nice paper, but not too much interesting."
125,Christian Lengauer,Joseph M. Morris,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,Microsoft,Company,Denied,Too much boring.
126,Ursula Goltz,Joseph M. Morris,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,UPC,University,Accepted,Too much boring.
127,Hans Ulrich Simon,Joseph M. Morris,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,Intel,Company,Denied,"Nice paper, but not too much interesting."
128,Luc Devroye,Joseph M. Morris,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,UPC,University,Denied,Really good.
129,Sanjeev Saxena,Patrick Cousot,Disjunctivity and other properties of sets of pseudo-bordered words.,Intel,Company,Denied,Really good.
130,Oded Shmueli,Patrick Cousot,Disjunctivity and other properties of sets of pseudo-bordered words.,UDL,University,Accepted,Nice to know.
131,Hans Ulrich Simon,Patrick Cousot,Disjunctivity and other properties of sets of pseudo-bordered words.,UPC,University,Accepted,"Nice paper, but not too much interesting."
132,William R. Franta,Patrick Cousot,Disjunctivity and other properties of sets of pseudo-bordered words.,Intel,Company,Accepted,Really good.
133,Nathan Goodman,Jürgen Nehmer,Relational structures model of concurrency.,Microsoft,Company,Accepted,Nice to know.
134,Oded Shmueli,Jürgen Nehmer,Relational structures model of concurrency.,UDL,University,Accepted,"Nice paper, but not too much interesting."
135,Hans Ulrich Simon,Jürgen Nehmer,Relational structures model of concurrency.,Intel,Company,Accepted,Nice to know.
136,Oded Shmueli,Jürgen Nehmer,Relational structures model of concurrency.,Microsoft,Company,Accepted,Nice to know.
137,Sanjeev Saxena,Joseph M. Morris,On an Equivalence between Continuation and Stack Semantics.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
138,Christian Ronse,Joseph M. Morris,On an Equivalence between Continuation and Stack Semantics.,UDL,University,Denied,Really good.
139,Juha Honkala,Joseph M. Morris,On an Equivalence between Continuation and Stack Semantics.,UDL,University,Denied,Too much boring.
140,Walter Vogler,Joseph M. Morris,On an Equivalence between Continuation and Stack Semantics.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
141,Christian Lengauer,Joseph M. Morris,On an Equivalence between Continuation and Stack Semantics.,Intel,Company,Denied,Really good.
142,Arnold Schönhage,Joseph M. Morris,On an Equivalence between Continuation and Stack Semantics.,Intel,Company,Denied,Too much boring.
143,Ryszard Janicki,Joseph M. Morris,On an Equivalence between Continuation and Stack Semantics.,Intel,Company,Denied,Really good.
144,Hans Ulrich Simon,Joseph M. Morris,On an Equivalence between Continuation and Stack Semantics.,Microsoft,Company,Accepted,Too much boring.
145,Sanjeev Saxena,Jürgen Nehmer,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,UDL,University,Denied,Really good.
146,Hans Ulrich Simon,Jürgen Nehmer,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,UPC,University,Denied,"Nice paper, but not too much interesting."
147,Oded Shmueli,Jürgen Nehmer,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,Microsoft,Company,Denied,Really good.
148,Arnold Schönhage,Jürgen Nehmer,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,UDL,University,Accepted,Too much boring.
149,Oded Shmueli,Jürgen Nehmer,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,UDL,University,Denied,"Nice paper, but not too much interesting."
150,Antonella Santone,Jürgen Nehmer,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,UDL,University,Denied,Too much boring.
151,Sanjeev Saxena,Patrick Cousot,A Note on the Density of Inherently Ambiguous Context-free Languages.,UPC,University,Accepted,Too much boring.
152,Oded Shmueli,Patrick Cousot,A Note on the Density of Inherently Ambiguous Context-free Languages.,UPC,University,Denied,Really good.
153,Vincent Vajnovszki,Patrick Cousot,A Note on the Density of Inherently Ambiguous Context-free Languages.,Intel,Company,Denied,"Nice paper, but not too much interesting."
154,Nathan Goodman,Patrick Cousot,A Note on the Density of Inherently Ambiguous Context-free Languages.,UDL,University,Accepted,Really good.
155,Hans Ulrich Simon,Patrick Cousot,A Note on the Density of Inherently Ambiguous Context-free Languages.,Intel,Company,Denied,Really good.
156,Oded Shmueli,Patrick Cousot,A Note on the Density of Inherently Ambiguous Context-free Languages.,UDL,University,Denied,Too much boring.
157,Arnold Schönhage,Patrick Cousot,A Note on the Density of Inherently Ambiguous Context-free Languages.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
158,Juha Honkala,Joseph M. Morris,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
159,Sanjeev Saxena,Joseph M. Morris,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,UDL,University,Denied,Really good.
160,Arnold Schönhage,Joseph M. Morris,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
161,Nathan Goodman,Joseph M. Morris,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,UDL,University,Accepted,Really good.
162,Nathan Goodman,Joseph M. Morris,Computational Algorithms for Networks of Queues with Rejection Blocking.,Intel,Company,Denied,Nice to know.
163,Norbert Blum,Joseph M. Morris,Computational Algorithms for Networks of Queues with Rejection Blocking.,UDL,University,Accepted,Too much boring.
164,Nathan Goodman,Joseph M. Morris,Computational Algorithms for Networks of Queues with Rejection Blocking.,UDL,University,Accepted,Nice to know.
165,Oded Shmueli,Joseph M. Morris,Computational Algorithms for Networks of Queues with Rejection Blocking.,UPC,University,Accepted,"Nice paper, but not too much interesting."
166,Nathan Goodman,Joseph M. Morris,Computational Algorithms for Networks of Queues with Rejection Blocking.,UPC,University,Denied,Nice to know.
167,Oded Shmueli,Isi Mitrani,Compositional Refinements in Multiple Blackboard Systems.,UPC,University,Denied,Too much boring.
168,Norbert Blum,Isi Mitrani,Compositional Refinements in Multiple Blackboard Systems.,UDL,University,Accepted,Really good.
169,Maria Calzarossa,Isi Mitrani,Compositional Refinements in Multiple Blackboard Systems.,Microsoft,Company,Denied,Nice to know.
170,X. J. Chen,Isi Mitrani,Compositional Refinements in Multiple Blackboard Systems.,Intel,Company,Denied,Really good.
171,Demetres D. Kouvatsos,Jürgen Nehmer,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",Intel,Company,Accepted,Too much boring.
172,Oded Shmueli,Jürgen Nehmer,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",Intel,Company,Denied,Nice to know.
173,Sanjeev Saxena,Jürgen Nehmer,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",UPC,University,Denied,Nice to know.
174,Arnold Schönhage,Jürgen Nehmer,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",UDL,University,Accepted,Really good.
175,Oded Shmueli,Joseph M. Morris,Automatic verification of concurrent systems using a formula-based compositional approach.,UPC,University,Accepted,"Nice paper, but not too much interesting."
176,Nathan Goodman,Joseph M. Morris,Automatic verification of concurrent systems using a formula-based compositional approach.,UPC,University,Denied,Nice to know.
177,Sanjeev Saxena,Joseph M. Morris,Automatic verification of concurrent systems using a formula-based compositional approach.,UDL,University,Accepted,Too much boring.
178,Antonella Santone,Joseph M. Morris,Automatic verification of concurrent systems using a formula-based compositional approach.,Intel,Company,Accepted,Too much boring.
179,William R. Franta,Joseph M. Morris,On Removing the Machine from the Language.,Intel,Company,Denied,"Nice paper, but not too much interesting."
180,Hans Ulrich Simon,Joseph M. Morris,On Removing the Machine from the Language.,UDL,University,Denied,"Nice paper, but not too much interesting."
181,Arnold Schönhage,Joseph M. Morris,On Removing the Machine from the Language.,UDL,University,Denied,"Nice paper, but not too much interesting."
182,Joachim Biskup,Joseph M. Morris,On Removing the Machine from the Language.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
183,Hans Ulrich Simon,Joseph M. Morris,On Removing the Machine from the Language.,UDL,University,Denied,Really good.
184,Maciej Koutny,Joseph M. Morris,On Removing the Machine from the Language.,UDL,University,Denied,Really good.
185,Sanjeev Saxena,Joseph M. Morris,On Removing the Machine from the Language.,UPC,University,Accepted,Really good.
186,M. Italiani,Joseph M. Morris,On Removing the Machine from the Language.,Microsoft,Company,Denied,Nice to know.
187,Hans Ulrich Simon,Patrick Cousot,Complete Problems for Space Bounded Subclasses of NP.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
188,Oded Shmueli,Patrick Cousot,Complete Problems for Space Bounded Subclasses of NP.,UDL,University,Accepted,"Nice paper, but not too much interesting."
189,Christian Ronse,Joseph M. Morris,Efficient controller synthesis for a fragment of MTL,Microsoft,Company,Denied,Nice to know.
190,Juha Honkala,Joseph M. Morris,Efficient controller synthesis for a fragment of MTL,Intel,Company,Accepted,Too much boring.
191,Oded Shmueli,Isi Mitrani,Two Notions of Correctness and Their Relation to Testing.,Microsoft,Company,Denied,Nice to know.
192,Christian Lengauer,Isi Mitrani,Two Notions of Correctness and Their Relation to Testing.,UDL,University,Denied,Too much boring.
193,Christian Lengauer,Joseph M. Morris,Best Huffman Trees.,UDL,University,Accepted,"Nice paper, but not too much interesting."
194,Sanjeev Saxena,Joseph M. Morris,Best Huffman Trees.,Intel,Company,Denied,"Nice paper, but not too much interesting."
195,Arnold Schönhage,Jürgen Nehmer,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,Intel,Company,Denied,Too much boring.
196,Nathan Goodman,Jürgen Nehmer,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,UDL,University,Accepted,Too much boring.
197,Norbert Blum,Jürgen Nehmer,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,Microsoft,Company,Accepted,Nice to know.
198,Nathan Goodman,Isi Mitrani,The Parsing Problem for Affix Grammars.,Microsoft,Company,Accepted,Too much boring.
199,Oded Shmueli,Isi Mitrani,The Parsing Problem for Affix Grammars.,UPC,University,Denied,Too much boring.
200,Oded Shmueli,Joseph M. Morris,On Efficient Entreeings.,UDL,University,Accepted,Really good.
201,Hans Ulrich Simon,Joseph M. Morris,On Efficient Entreeings.,UPC,University,Denied,Really good.
202,William R. Franta,Jürgen Nehmer,Persistence of Vector Replacement Systems is Decidable.,UDL,University,Accepted,"Nice paper, but not too much interesting."
203,Hans Ulrich Simon,Jürgen Nehmer,Persistence of Vector Replacement Systems is Decidable.,UDL,University,Denied,Really good.
204,Arnold Schönhage,Jürgen Nehmer,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,UDL,University,Denied,Nice to know.
205,Hans Ulrich Simon,Jürgen Nehmer,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,UDL,University,Denied,Too much boring.
206,Norbert Blum,Jürgen Nehmer,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,UPC,University,Accepted,Really good.
207,Hans Ulrich Simon,Jürgen Nehmer,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,UPC,University,Accepted,"Nice paper, but not too much interesting."
208,Chua-Huang Huang,Isi Mitrani,Functional Behavior in Data Spaces.,UPC,University,Accepted,Too much boring.
209,Arnold Schönhage,Isi Mitrani,Functional Behavior in Data Spaces.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
210,Rainer Kemp,Isi Mitrani,Functional Behavior in Data Spaces.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
211,Christian Ronse,Isi Mitrani,Functional Behavior in Data Spaces.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
212,Nathan Goodman,Isi Mitrani,Functional Behavior in Data Spaces.,UPC,University,Accepted,Too much boring.
