,paper,reference
188,Explaining the Wheel Sieve.,The Expressive Power of Delay Operators in SCCS.
189,Explaining the Wheel Sieve.,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.
190,Explaining the Wheel Sieve.,On Efficient Entreeings.
191,Explaining the Wheel Sieve.,Domain Independence and the Relational Calculus.
192,Another Polynomial Homomorphism.,Bounded Quantification and Relations Recognizable by Finite Automata.
193,Another Polynomial Homomorphism.,A Complete Algebraic Characterization of Behavioral Subtyping.
194,Another Polynomial Homomorphism.,High Level Tree Transducers and Iterated Pushdown Tree Transducers.
195,Another Polynomial Homomorphism.,Representation and uniformization of algebraic transductions.
196,Another Polynomial Homomorphism.,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.
197,Another Polynomial Homomorphism.,Metric propositional neighborhood logic with an equivalence relation.
198,Another Polynomial Homomorphism.,The Programming Language Pascal.
199,Another Polynomial Homomorphism.,The Lattice of Data Refinement.
200,Another Polynomial Homomorphism.,The Expressive Power of Delay Operators in SCCS.
201,Another Polynomial Homomorphism.,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.
202,Variance Reduction Techniques for the Simulation of Markov Process.,Another Polynomial Homomorphism.
203,Variance Reduction Techniques for the Simulation of Markov Process.,On the Synchronization in Parallel Communicating Grammar Systems.
204,Variance Reduction Techniques for the Simulation of Markov Process.,A note on autodense related languages.
205,Variance Reduction Techniques for the Simulation of Markov Process.,Recursive Petri nets.
206,Variance Reduction Techniques for the Simulation of Markov Process.,Nonfinite Axiomatizability of the Equational Theory of Shuffle.
207,Variance Reduction Techniques for the Simulation of Markov Process.,Ein Vollständigkeitssatz für Programme und Schaltkreise.
208,Variance Reduction Techniques for the Simulation of Markov Process.,Concurrent Access to Data.
209,Variance Reduction Techniques for the Simulation of Markov Process.,Optimal Multiprogramming.
210,Variance Reduction Techniques for the Simulation of Markov Process.,On Real-Time Cellular Automata and Trellis Automata.
211,Variance Reduction Techniques for the Simulation of Markov Process.,Models for Reactivity.
212,Variance Reduction Techniques for the Simulation of Markov Process.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
213,Variance Reduction Techniques for the Simulation of Markov Process.,Calculi for Interaction.
214,Variance Reduction Techniques for the Simulation of Markov Process.,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.
215,Variance Reduction Techniques for the Simulation of Markov Process.,Dispatcher Primitives for the Construction of Operating System Kernels.
216,Variance Reduction Techniques for the Simulation of Markov Process.,A Note on Multihead Automata and Context-Sensitive Languages
217,Variance Reduction Techniques for the Simulation of Markov Process.,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.
218,State complexity of deletion and bipolar deletion.,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.
219,State complexity of deletion and bipolar deletion.,Weakly Context-Sensitive Languages as Model for Programming Languages.
220,State complexity of deletion and bipolar deletion.,Gobang ist PSPACE-vollständig.
221,State complexity of deletion and bipolar deletion.,Multitype Multiprogramming Models.
222,State complexity of deletion and bipolar deletion.,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.
223,State complexity of deletion and bipolar deletion.,A Comparison of Two Synchronizing Concepts.
224,State complexity of deletion and bipolar deletion.,Recognizability of graph and pattern languages.
225,State complexity of deletion and bipolar deletion.,Inhibitionsfelder.
226,State complexity of deletion and bipolar deletion.,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.
227,State complexity of deletion and bipolar deletion.,Models for Reactivity.
228,State complexity of deletion and bipolar deletion.,Parallel Integer Sorting and Simulation Amongst CRCW Models.
229,State complexity of deletion and bipolar deletion.,Merged processes: a new condensed representation of Petri net behaviour.
230,State complexity of deletion and bipolar deletion.,A Workload Model Representative of Static and Dynamic Characteristics.
231,State complexity of deletion and bipolar deletion.,Branching Processes in the Analysis of the Heights of Trees.
232,State complexity of deletion and bipolar deletion.,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.
233,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.
234,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,State complexity of deletion and bipolar deletion.
235,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.
236,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Rules of Inference for Procedure Calls.
237,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,The Construction of Operator Interfaces Based on Logical Input Devices.
238,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Representation and uniformization of algebraic transductions.
239,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,A theory of formal synthesis via inductive learning.
240,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,How to Calculate Symmetries of Petri Nets.
241,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Recognizability of graph and pattern languages.
242,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Reasoning Algebraically about Loops.
243,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.
244,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Optimum Multiway Search Trees.
245,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Systolic Automata for VLSI on Balanced Trees.
246,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,A Synthesis of Several Sorting Algorithms.
247,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Branching Processes in the Analysis of the Heights of Trees.
248,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Quad Trees: A Data Structure for Retrieval on Composite Keys.
249,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.
250,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Rules of Inference for Procedure Calls.
251,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Recursive Petri nets.
252,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,The Clean Termination of Iterative Programs.
253,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Data Refinement by Calculation.
254,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,On the Look-Ahead Problem in Lexical Analysis.
255,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,How to Calculate Symmetries of Petri Nets.
256,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.
257,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,A Modal Logic for Message Passing Processes.
258,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Trace Nets and Process Automata.
259,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.
260,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Parallel Integer Sorting Using Small Operations.
261,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Parallel Integer Sorting and Simulation Amongst CRCW Models.
262,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,A Three-Stage Construction for Multiconnection Networks.
263,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.
264,Regular and context-free nominal traces.,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.
265,Regular and context-free nominal traces.,Another Polynomial Homomorphism.
266,Regular and context-free nominal traces.,State complexity of deletion and bipolar deletion.
267,Regular and context-free nominal traces.,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.
268,Regular and context-free nominal traces.,High Level Tree Transducers and Iterated Pushdown Tree Transducers.
269,Regular and context-free nominal traces.,Algorithms for Fast Evaluation of Boolean Expressions.
270,Regular and context-free nominal traces.,An Efficiency Preorder for Processes.
271,Regular and context-free nominal traces.,On regular tree languages and deterministic pushdown automata.
272,Regular and context-free nominal traces.,The Programming Language Pascal.
273,Regular and context-free nominal traces.,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.
274,Regular and context-free nominal traces.,Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.
275,Regular and context-free nominal traces.,"Another Look at the ""Longest Ascending Subsequence"" Problem."
276,Regular and context-free nominal traces.,"Axioms for Generalized Graphs, Illustrated by a Cantor-Bernstein Proposition."
277,Regular and context-free nominal traces.,A Gap Between the Actual Complexity of Permutations and Their Entropy Defined by Stoß.
278,Regular and context-free nominal traces.,Paramodulated Connection Graphs.
279,Regular and context-free nominal traces.,The Lattice of Data Refinement.
280,Regular and context-free nominal traces.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
281,Regular and context-free nominal traces.,Least Upper Bound on the Cost of Optimum Binary Search Trees.
282,Regular and context-free nominal traces.,Efficient controller synthesis for a fragment of MTL
283,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.
284,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,State space axioms for T-systems.
285,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Inhibitionsfelder.
286,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Stochastic cooperative distributed grammar systems and random graphs.
287,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Disjunctivity and other properties of sets of pseudo-bordered words.
