,Paper,Keyword
58,Another Polynomial Homomorphism.,CNN
59,Variance Reduction Techniques for the Simulation of Markov Process.,easter egg
60,Variance Reduction Techniques for the Simulation of Markov Process.,eminem
61,State complexity of deletion and bipolar deletion.,DeepLearning
62,State complexity of deletion and bipolar deletion.,neo4j
63,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,CNN
64,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,data management
65,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,indexing
66,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,pandas
67,Regular and context-free nominal traces.,data modeling
68,Regular and context-free nominal traces.,pandas
69,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,DeepLearning
70,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,data storage
71,Special issue: Synthesis and SYNT 2014.,data processing
72,Special issue: Synthesis and SYNT 2014.,big data
73,Special issue: Synthesis and SYNT 2014.,CNN
74,On the Synchronization in Parallel Communicating Grammar Systems.,DeepLearning
75,On the Synchronization in Parallel Communicating Grammar Systems.,neo4j
76,On the Synchronization in Parallel Communicating Grammar Systems.,data querying
77,Weakly Context-Sensitive Languages as Model for Programming Languages.,data storage
78,Weakly Context-Sensitive Languages as Model for Programming Languages.,data processing
79,Rules of Inference for Procedure Calls.,data modeling
80,The Construction of Operator Interfaces Based on Logical Input Devices.,data storage
81,The Construction of Operator Interfaces Based on Logical Input Devices.,eminem
82,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,neo4j
83,Gobang ist PSPACE-vollständig.,big data
84,Gobang ist PSPACE-vollständig.,android
85,Gobang ist PSPACE-vollständig.,eminem
86,A note on autodense related languages.,data management
87,A note on autodense related languages.,indexing
88,A note on autodense related languages.,data querying
89,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,data querying
90,Optimizing the Costs of Hierarchical Quorum Consensus.,tensor flow
91,Optimizing the Costs of Hierarchical Quorum Consensus.,neo4j
92,Recursive Petri nets.,data modeling
93,Multitype Multiprogramming Models.,indexing
94,Multitype Multiprogramming Models.,android
95,Multitype Multiprogramming Models.,data processing
96,Automatic Correction of Syntax-Errors in Programming Languages.,easter egg
97,Automatic Correction of Syntax-Errors in Programming Languages.,tensor flow
98,Automatic Correction of Syntax-Errors in Programming Languages.,CNN
99,Representation and uniformization of algebraic transductions.,NN
100,Representation and uniformization of algebraic transductions.,data querying
101,Concurrent Bisimulations in Petri Nets.,NN
102,Concurrent Bisimulations in Petri Nets.,eminem
103,Concurrent Bisimulations in Petri Nets.,data management
104,Enhanced prefetching and caching strategies for single- and multi-disk systems.,data storage
105,Enhanced prefetching and caching strategies for single- and multi-disk systems.,tensor flow
106,Enhanced prefetching and caching strategies for single- and multi-disk systems.,data modeling
107,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,tensor flow
108,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,CNN
109,State space axioms for T-systems.,NN
110,Extended multi bottom-up tree transducers.,easter egg
111,Extended multi bottom-up tree transducers.,android
112,The Clean Termination of Iterative Programs.,python
113,Infinite Proof Rules for Loops.,big data
114,Infinite Proof Rules for Loops.,NN
115,Infinite Proof Rules for Loops.,data management
116,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,pandas
117,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,eminem
118,"Running a job on a collection of partly available machines, with on-line restarts.",indexing
119,Data Refinement by Calculation.,indexing
120,Data Refinement by Calculation.,data querying
121,Data Refinement by Calculation.,data modeling
122,Program Refinement in Fair Transition Systems.,CNN
123,Program Refinement in Fair Transition Systems.,pandas
124,Program Refinement in Fair Transition Systems.,NN
125,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,pandas
126,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,big data
127,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",indexing
128,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",NN
129,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",neo4j
130,On the Look-Ahead Problem in Lexical Analysis.,data modeling
131,On the Look-Ahead Problem in Lexical Analysis.,DeepLearning
132,A theory of formal synthesis via inductive learning.,NN
133,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,easter egg
134,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,CNN
135,Data Encodings and Their Costs.,easter egg
136,Hierarchies of Complete Problems.,DeepLearning
137,Ein Vollständigkeitssatz für Programme und Schaltkreise.,python
138,Ein Vollständigkeitssatz für Programme und Schaltkreise.,android
139,Ein Vollständigkeitssatz für Programme und Schaltkreise.,data management
140,Type-based information flow analysis for the pi-calculus.,CNN
141,Sur une Conjecture de S. Greibach.,easter egg
142,Sur une Conjecture de S. Greibach.,eminem
143,Sur une Conjecture de S. Greibach.,data storage
144,A Conservation Law for G/G/m Queueing Systems.,big data
145,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,data processing
146,Context-Free Graph Grammars and Concatenation of Graphs.,data querying
147,Context-Free Graph Grammars and Concatenation of Graphs.,data management
148,On a Class of Recursive Procedures and Equivalent Iterative Ones.,tensor flow
149,On a Class of Recursive Procedures and Equivalent Iterative Ones.,data processing
150,Algorithms for Fast Evaluation of Boolean Expressions.,neo4j
151,A general account of coinduction up-to.,easter egg
152,A Comparison of Two Synchronizing Concepts.,python
153,How to Calculate Symmetries of Petri Nets.,android
154,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",pandas
155,Recognizability of graph and pattern languages.,indexing
156,Recognizability of graph and pattern languages.,eminem
157,The Synthesis Problem of Petri Nets.,data management
158,The Synthesis Problem of Petri Nets.,tensor flow
159,The Synthesis Problem of Petri Nets.,indexing
160,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,neo4j
161,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,DeepLearning
162,On weighted first-order logics with discounting.,neo4j
163,On weighted first-order logics with discounting.,DeepLearning
164,On weighted first-order logics with discounting.,NN
165,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.,data modeling
166,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.,data querying
167,"Demonic, angelic and unbounded probabilistic choices in sequential programs.",neo4j
168,"Demonic, angelic and unbounded probabilistic choices in sequential programs.",NN
169,"Demonic, angelic and unbounded probabilistic choices in sequential programs.",tensor flow
170,An Efficiency Preorder for Processes.,data management
171,An Efficiency Preorder for Processes.,data storage
172,An Efficiency Preorder for Processes.,easter egg
173,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.,eminem
174,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.,easter egg
175,Modeling Splits in File Structures.,data modeling
176,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,python
177,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,eminem
178,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,NN
179,Synchronized regular expressions.,DeepLearning
180,On regular tree languages and deterministic pushdown automata.,data storage
181,A Modal Logic for Message Passing Processes.,neo4j
182,Maintaining Range Trees in Secondary Memory. Part I: Partitions.,data modeling
183,Maintaining Range Trees in Secondary Memory. Part I: Partitions.,data storage
184,Maintaining Range Trees in Secondary Memory. Part I: Partitions.,pandas
185,Does indirect addressing matter? - A note.,neo4j
186,Does indirect addressing matter? - A note.,DeepLearning
187,Does indirect addressing matter? - A note.,pandas
188,Reasoning Algebraically about Loops.,neo4j
189,Reasoning Algebraically about Loops.,easter egg
190,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.,DeepLearning
191,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.,neo4j
192,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.,python
193,Trace Nets and Process Automata.,data modeling
194,Trace Nets and Process Automata.,indexing
195,Trace Nets and Process Automata.,tensor flow
196,Metric propositional neighborhood logic with an equivalence relation.,easter egg
197,Metric propositional neighborhood logic with an equivalence relation.,python
198,Metric propositional neighborhood logic with an equivalence relation.,data processing
199,Parallel Integer Sorting and Simulation Amongst CRCW Models.,CNN
200,Pattern Matching in Trees and Nets.,indexing
201,Pattern Matching in Trees and Nets.,DeepLearning
202,NP-complete Problems Simplified on Tree Schemas.,indexing
203,On the Power of Chain Rules in Context Free Grammars.,tensor flow
204,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,python
205,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,data modeling
206,A characterization of rational D0L power series.,eminem
207,The Derivation of Systolic Implementations of Programs.,python
208,The Derivation of Systolic Implementations of Programs.,easter egg
209,The Derivation of Systolic Implementations of Programs.,tensor flow
210,Fifo Nets Without Order Deadlock.,NN
211,Fifo Nets Without Order Deadlock.,tensor flow
212,Fifo Nets Without Order Deadlock.,data modeling
213,On the Complementation Rule for Multivalued Dependencies in Database Relations.,CNN
214,On the Complementation Rule for Multivalued Dependencies in Database Relations.,data storage
215,Equational weighted tree transformations.,python
216,Equational weighted tree transformations.,pandas
217,Merged processes: a new condensed representation of Petri net behaviour.,data processing
218,Merged processes: a new condensed representation of Petri net behaviour.,android
219,Merged processes: a new condensed representation of Petri net behaviour.,pandas
220,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,big data
221,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,NN
222,A Three-Stage Construction for Multiconnection Networks.,neo4j
223,The Expressive Power of Delay Operators in SCCS.,data management
224,Calculi for Interaction.,pandas
225,Calculi for Interaction.,neo4j
226,A Synthesis of Several Sorting Algorithms.,big data
227,A Workload Model Representative of Static and Dynamic Characteristics.,data querying
228,Gray visiting Motzkins.,indexing
229,Gray visiting Motzkins.,eminem
230,Trace- and failure-based semantics for responsiveness.,data storage
231,Branching Processes in the Analysis of the Heights of Trees.,neo4j
232,Branching Processes in the Analysis of the Heights of Trees.,data processing
233,Least Upper Bound on the Cost of Optimum Binary Search Trees.,data management
234,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,tensor flow
235,"Invariants, Composition, and Substitution.",neo4j
236,"Invariants, Composition, and Substitution.",data processing
237,Maximum Entropy and the ,data storage
238,Maximum Entropy and the ,python
239,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,data storage
240,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,indexing
241,A theory of structural stationarity in the ,eminem
242,A theory of structural stationarity in the ,data querying
243,Hex ist PSPACE-vollständig.,CNN
244,Hex ist PSPACE-vollständig.,indexing
245,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,NN
246,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,eminem
247,Disjunctivity and other properties of sets of pseudo-bordered words.,python
248,Disjunctivity and other properties of sets of pseudo-bordered words.,data modeling
249,Disjunctivity and other properties of sets of pseudo-bordered words.,android
250,Relational structures model of concurrency.,data processing
251,On an Equivalence between Continuation and Stack Semantics.,data storage
252,On an Equivalence between Continuation and Stack Semantics.,indexing
253,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,indexing
254,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,big data
255,A Note on the Density of Inherently Ambiguous Context-free Languages.,NN
256,A Note on the Density of Inherently Ambiguous Context-free Languages.,data modeling
257,A Note on the Density of Inherently Ambiguous Context-free Languages.,python
258,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,data storage
259,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,big data
260,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,data modeling
261,Computational Algorithms for Networks of Queues with Rejection Blocking.,data storage
262,Computational Algorithms for Networks of Queues with Rejection Blocking.,NN
263,Compositional Refinements in Multiple Blackboard Systems.,data modeling
264,Compositional Refinements in Multiple Blackboard Systems.,tensor flow
265,Compositional Refinements in Multiple Blackboard Systems.,data storage
266,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",big data
267,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",data querying
268,Automatic verification of concurrent systems using a formula-based compositional approach.,python
269,Automatic verification of concurrent systems using a formula-based compositional approach.,CNN
270,Automatic verification of concurrent systems using a formula-based compositional approach.,neo4j
271,On Removing the Machine from the Language.,big data
272,Complete Problems for Space Bounded Subclasses of NP.,python
273,Efficient controller synthesis for a fragment of MTL,big data
274,Two Notions of Correctness and Their Relation to Testing.,pandas
275,Two Notions of Correctness and Their Relation to Testing.,eminem
276,Two Notions of Correctness and Their Relation to Testing.,android
277,Best Huffman Trees.,data management
278,Best Huffman Trees.,tensor flow
279,Best Huffman Trees.,CNN
280,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,android
281,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,NN
282,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,DeepLearning
283,The Parsing Problem for Affix Grammars.,DeepLearning
284,The Parsing Problem for Affix Grammars.,CNN
285,On Efficient Entreeings.,android
286,On Efficient Entreeings.,data management
287,On Efficient Entreeings.,data modeling
288,Persistence of Vector Replacement Systems is Decidable.,easter egg
289,Persistence of Vector Replacement Systems is Decidable.,data modeling
290,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,DeepLearning
291,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,data processing
292,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,indexing
293,Functional Behavior in Data Spaces.,pandas
294,Inductive Completion with Retracts.,data management
295,Inductive Completion with Retracts.,neo4j
296,Inductive Completion with Retracts.,tensor flow
