,paper,reference
186,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Formal Derivation of Strongly Correct Concurrent Programs.
187,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Pattern Matching in Trees and Nets.
188,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
189,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.
190,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
191,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Worst Case Performance of Weighted Buddy Systems.
192,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Eliminating Unit Productions from LR Parsers.
193,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Domain Independence and the Relational Calculus.
194,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.
195,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Hierarchies of Complete Problems.
196,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Performance Evaluation of Fork and Join Synchronization Primitives.
197,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Pattern Matching in Trees and Nets.
198,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
199,Regular and context-free nominal traces.,Instruction sequence processing operators.
200,Regular and context-free nominal traces.,State complexity of deletion and bipolar deletion.
201,Regular and context-free nominal traces.,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.
202,Regular and context-free nominal traces.,Optimizing the Costs of Hierarchical Quorum Consensus.
203,Regular and context-free nominal traces.,Representation and uniformization of algebraic transductions.
204,Regular and context-free nominal traces.,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.
205,Regular and context-free nominal traces.,State space axioms for T-systems.
206,Regular and context-free nominal traces.,Nonfinite Axiomatizability of the Equational Theory of Shuffle.
207,Regular and context-free nominal traces.,On the Look-Ahead Problem in Lexical Analysis.
208,Regular and context-free nominal traces.,Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.
209,Regular and context-free nominal traces.,A Note on Synthesis and Classification of Sorting Algorithms.
210,Regular and context-free nominal traces.,Calculi for Interaction.
211,Regular and context-free nominal traces.,On an Equivalence between Continuation and Stack Semantics.
212,Regular and context-free nominal traces.,"Special issue on ""Combining Compositionality and Concurrency"": part 1."
213,Regular and context-free nominal traces.,Complete Parameterized Families of Job Scheduling Strategies.
214,Regular and context-free nominal traces.,Domain Independence and the Relational Calculus.
215,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Efficient execution of dynamically controllable simple temporal networks with uncertainty.
216,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Another Polynomial Homomorphism.
217,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.
218,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.
219,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Gobang ist PSPACE-vollständig.
220,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,A note on autodense related languages.
221,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,State space axioms for T-systems.
222,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.
223,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Type-based information flow analysis for the pi-calculus.
224,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Context-Free Graph Grammars and Concatenation of Graphs.
225,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Concurrent Access to Data.
226,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Correctness of the Compiling Process Based on Axiomatic Semantics.
227,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Backtracking in Recursive Computations.
228,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,A first step in characterizing three-element codes.
229,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.
230,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,A Three-Stage Construction for Multiconnection Networks.
231,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Hex ist PSPACE-vollständig.
232,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
233,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Disjunctivity and other properties of sets of pseudo-bordered words.
234,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.
235,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,On Parallel Integer Sorting.
236,Special issue: Synthesis and SYNT 2014.,Efficient execution of dynamically controllable simple temporal networks with uncertainty.
237,Special issue: Synthesis and SYNT 2014.,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.
238,Special issue: Synthesis and SYNT 2014.,Extended multi bottom-up tree transducers.
239,Special issue: Synthesis and SYNT 2014.,Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.
240,Special issue: Synthesis and SYNT 2014.,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.
241,Special issue: Synthesis and SYNT 2014.,Stochastic cooperative distributed grammar systems and random graphs.
242,Special issue: Synthesis and SYNT 2014.,Performance Preorder and Competitive Equivalence.
243,Special issue: Synthesis and SYNT 2014.,Backtracking in Recursive Computations.
244,Special issue: Synthesis and SYNT 2014.,A Three-Stage Construction for Multiconnection Networks.
245,Special issue: Synthesis and SYNT 2014.,Trace- and failure-based semantics for responsiveness.
246,Special issue: Synthesis and SYNT 2014.,Hex ist PSPACE-vollständig.
247,Special issue: Synthesis and SYNT 2014.,Dispatcher Primitives for the Construction of Operating System Kernels.
248,On the Synchronization in Parallel Communicating Grammar Systems.,A Complete Algebraic Characterization of Behavioral Subtyping.
249,On the Synchronization in Parallel Communicating Grammar Systems.,On the Synchronization in Parallel Communicating Grammar Systems.
250,On the Synchronization in Parallel Communicating Grammar Systems.,Weakly Context-Sensitive Languages as Model for Programming Languages.
251,On the Synchronization in Parallel Communicating Grammar Systems.,Gobang ist PSPACE-vollständig.
252,On the Synchronization in Parallel Communicating Grammar Systems.,Algorithms for Fast Evaluation of Boolean Expressions.
253,On the Synchronization in Parallel Communicating Grammar Systems.,A Note on the Density of Inherently Ambiguous Context-free Languages.
254,On the Synchronization in Parallel Communicating Grammar Systems.,Eliminating Unit Productions from LR Parsers.
255,Weakly Context-Sensitive Languages as Model for Programming Languages.,Weakly Context-Sensitive Languages as Model for Programming Languages.
256,Weakly Context-Sensitive Languages as Model for Programming Languages.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
257,Weakly Context-Sensitive Languages as Model for Programming Languages.,COSY - A System Specification Language Based on Paths and Processes.
258,Rules of Inference for Procedure Calls.,Infinite Proof Rules for Loops.
259,Rules of Inference for Procedure Calls.,Nonfinite Axiomatizability of the Equational Theory of Shuffle.
260,Rules of Inference for Procedure Calls.,Formal Derivation of Strongly Correct Concurrent Programs.
261,Rules of Inference for Procedure Calls.,Pattern Matching in Trees and Nets.
262,Rules of Inference for Procedure Calls.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
263,Rules of Inference for Procedure Calls.,A theory of structural stationarity in the 
264,The Construction of Operator Interfaces Based on Logical Input Devices.,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.
265,The Construction of Operator Interfaces Based on Logical Input Devices.,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.
266,The Construction of Operator Interfaces Based on Logical Input Devices.,Recognizability of graph and pattern languages.
267,The Construction of Operator Interfaces Based on Logical Input Devices.,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.
268,The Construction of Operator Interfaces Based on Logical Input Devices.,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.
269,The Construction of Operator Interfaces Based on Logical Input Devices.,Backtracking in Recursive Computations.
270,The Construction of Operator Interfaces Based on Logical Input Devices.,Parallel Integer Sorting and Simulation Amongst CRCW Models.
271,The Construction of Operator Interfaces Based on Logical Input Devices.,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
272,The Construction of Operator Interfaces Based on Logical Input Devices.,Relational structures model of concurrency.
273,The Construction of Operator Interfaces Based on Logical Input Devices.,Eliminating Unit Productions from LR Parsers.
274,The Construction of Operator Interfaces Based on Logical Input Devices.,On Parallel Integer Sorting.
275,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Bounded Quantification and Relations Recognizable by Finite Automata.
276,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.
277,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.
278,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,On the Synchronization in Parallel Communicating Grammar Systems.
279,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.
280,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Concurrent Bisimulations in Petri Nets.
