,Paper,Keyword
223,A new natural structural congruence in the pi-calculus with replication.,CNN
224,A new natural structural congruence in the pi-calculus with replication.,tensor flow
225,A new natural structural congruence in the pi-calculus with replication.,python
226,Optimal Multiprogramming.,big data
227,Classes of Systolic Y-Tree Automata and a Comparison with Systolic Trellis Automata.,CNN
228,Classes of Systolic Y-Tree Automata and a Comparison with Systolic Trellis Automata.,easter egg
229,On Real-Time Cellular Automata and Trellis Automata.,python
230,On Real-Time Cellular Automata and Trellis Automata.,data management
231,Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.,DeepLearning
232,Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.,easter egg
233,Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.,NN
234,Performance Preorder and Competitive Equivalence.,python
235,Performance Preorder and Competitive Equivalence.,CNN
236,A Survey of Normal Form Covers for Context Free Grammars.,data modeling
237,A Note on Synthesis and Classification of Sorting Algorithms.,indexing
238,A Note on Synthesis and Classification of Sorting Algorithms.,big data
239,Liveness of a mutex algorithm in a fair process algebra.,eminem
240,"Another Look at the ""Longest Ascending Subsequence"" Problem.",data management
241,"Another Look at the ""Longest Ascending Subsequence"" Problem.",CNN
242,Complexity Theory and the Operational Structure of Algebraic Programming Systems.,pandas
243,Complexity Theory and the Operational Structure of Algebraic Programming Systems.,easter egg
244,Complexity Theory and the Operational Structure of Algebraic Programming Systems.,android
245,Models for Reactivity.,eminem
246,"Axioms for Generalized Graphs, Illustrated by a Cantor-Bernstein Proposition.",android
247,A Proof System for Distributed Processes.,NN
248,A Proof System for Distributed Processes.,DeepLearning
249,A Proof System for Distributed Processes.,pandas
250,Finite State Relational Programs.,NN
251,A Gap Between the Actual Complexity of Permutations and Their Entropy Defined by Stoß.,neo4j
252,A Gap Between the Actual Complexity of Permutations and Their Entropy Defined by Stoß.,easter egg
253,MAT learners for tree series: an abstract data type and two realizations.,big data
254,MAT learners for tree series: an abstract data type and two realizations.,data processing
255,MAT learners for tree series: an abstract data type and two realizations.,easter egg
256,Exponentially decreasing number of operations in balanced trees.,pandas
257,Exponentially decreasing number of operations in balanced trees.,neo4j
258,Correctness of the Compiling Process Based on Axiomatic Semantics.,data management
259,Correctness of the Compiling Process Based on Axiomatic Semantics.,tensor flow
260,Paramodulated Connection Graphs.,big data
261,The Lattice of Data Refinement.,NN
262,Backtracking in Recursive Computations.,eminem
263,Backtracking in Recursive Computations.,NN
264,Backtracking in Recursive Computations.,DeepLearning
265,A first step in characterizing three-element codes.,easter egg
266,Efficient LL(1) Error Correction and Recovery Using Only Insertions.,data processing
267,Formal Derivation of Strongly Correct Concurrent Programs.,NN
268,Formal Derivation of Strongly Correct Concurrent Programs.,data processing
269,Formal Derivation of Strongly Correct Concurrent Programs.,indexing
270,Parallel Integer Sorting and Simulation Amongst CRCW Models.,CNN
271,Parallel Integer Sorting and Simulation Amongst CRCW Models.,data processing
272,Parallel Integer Sorting and Simulation Amongst CRCW Models.,eminem
273,Pattern Matching in Trees and Nets.,data processing
274,NP-complete Problems Simplified on Tree Schemas.,data modeling
275,On the Power of Chain Rules in Context Free Grammars.,neo4j
276,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,python
277,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,tensor flow
278,A characterization of rational D0L power series.,neo4j
279,A characterization of rational D0L power series.,python
280,A characterization of rational D0L power series.,pandas
281,The Derivation of Systolic Implementations of Programs.,data processing
282,Fifo Nets Without Order Deadlock.,data querying
283,On the Complementation Rule for Multivalued Dependencies in Database Relations.,android
284,On the Complementation Rule for Multivalued Dependencies in Database Relations.,data storage
285,On the Complementation Rule for Multivalued Dependencies in Database Relations.,pandas
286,Equational weighted tree transformations.,data processing
287,Equational weighted tree transformations.,indexing
288,Equational weighted tree transformations.,eminem
289,Merged processes: a new condensed representation of Petri net behaviour.,data storage
290,Merged processes: a new condensed representation of Petri net behaviour.,eminem
291,Merged processes: a new condensed representation of Petri net behaviour.,DeepLearning
292,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,CNN
293,A Three-Stage Construction for Multiconnection Networks.,data processing
294,A Three-Stage Construction for Multiconnection Networks.,python
295,A Three-Stage Construction for Multiconnection Networks.,DeepLearning
296,The Expressive Power of Delay Operators in SCCS.,android
297,The Expressive Power of Delay Operators in SCCS.,tensor flow
298,Calculi for Interaction.,easter egg
299,A Synthesis of Several Sorting Algorithms.,python
300,A Synthesis of Several Sorting Algorithms.,eminem
301,A Synthesis of Several Sorting Algorithms.,data processing
302,A Workload Model Representative of Static and Dynamic Characteristics.,data storage
303,Gray visiting Motzkins.,indexing
304,Gray visiting Motzkins.,data modeling
305,Gray visiting Motzkins.,neo4j
306,Trace- and failure-based semantics for responsiveness.,data storage
307,Trace- and failure-based semantics for responsiveness.,eminem
308,Branching Processes in the Analysis of the Heights of Trees.,pandas
309,Least Upper Bound on the Cost of Optimum Binary Search Trees.,data management
310,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,eminem
311,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,neo4j
312,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,data modeling
313,"Invariants, Composition, and Substitution.",easter egg
314,"Invariants, Composition, and Substitution.",big data
315,"Invariants, Composition, and Substitution.",data management
316,Maximum Entropy and the ,NN
317,Maximum Entropy and the ,data management
318,Maximum Entropy and the ,indexing
319,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,easter egg
320,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,python
321,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,eminem
322,A theory of structural stationarity in the ,big data
323,A theory of structural stationarity in the ,data storage
324,Hex ist PSPACE-vollständig.,data processing
325,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,indexing
326,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,data querying
327,Disjunctivity and other properties of sets of pseudo-bordered words.,tensor flow
328,Relational structures model of concurrency.,data processing
329,On an Equivalence between Continuation and Stack Semantics.,NN
330,On an Equivalence between Continuation and Stack Semantics.,python
331,On an Equivalence between Continuation and Stack Semantics.,data storage
332,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,tensor flow
333,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,data querying
334,A Note on the Density of Inherently Ambiguous Context-free Languages.,big data
335,A Note on the Density of Inherently Ambiguous Context-free Languages.,CNN
336,A Note on the Density of Inherently Ambiguous Context-free Languages.,python
337,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,data management
338,Computational Algorithms for Networks of Queues with Rejection Blocking.,data management
339,Compositional Refinements in Multiple Blackboard Systems.,data querying
340,Compositional Refinements in Multiple Blackboard Systems.,tensor flow
341,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",data querying
342,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",pandas
343,Automatic verification of concurrent systems using a formula-based compositional approach.,pandas
344,Automatic verification of concurrent systems using a formula-based compositional approach.,neo4j
345,On Removing the Machine from the Language.,eminem
346,On Removing the Machine from the Language.,data modeling
347,On Removing the Machine from the Language.,neo4j
348,Complete Problems for Space Bounded Subclasses of NP.,data storage
349,Efficient controller synthesis for a fragment of MTL,data storage
350,Two Notions of Correctness and Their Relation to Testing.,pandas
351,Best Huffman Trees.,eminem
352,Best Huffman Trees.,data modeling
353,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,data querying
354,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,tensor flow
355,The Parsing Problem for Affix Grammars.,python
356,On Efficient Entreeings.,indexing
357,On Efficient Entreeings.,eminem
358,On Efficient Entreeings.,easter egg
359,Persistence of Vector Replacement Systems is Decidable.,big data
360,Persistence of Vector Replacement Systems is Decidable.,tensor flow
361,Persistence of Vector Replacement Systems is Decidable.,easter egg
362,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,data modeling
363,Functional Behavior in Data Spaces.,easter egg
364,Inductive Completion with Retracts.,data management
365,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,NN
366,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,easter egg
367,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,data querying
368,Complete Parameterized Families of Job Scheduling Strategies.,neo4j
369,Complete Parameterized Families of Job Scheduling Strategies.,data storage
370,Modelling higher-order dual nondeterminacy.,data processing
371,Modelling higher-order dual nondeterminacy.,NN
372,Dispatcher Primitives for the Construction of Operating System Kernels.,android
373,A Note on Multihead Automata and Context-Sensitive Languages,data processing
374,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,data processing
375,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,CNN
376,Compositional schedulability analysis of real-time actor-based systems.,android
377,Compositional schedulability analysis of real-time actor-based systems.,eminem
378,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,neo4j
379,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,DeepLearning
380,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,CNN
381,Worst Case Performance of Weighted Buddy Systems.,android
382,Worst Case Performance of Weighted Buddy Systems.,python
383,Contextual Nets.,python
384,COSY - A System Specification Language Based on Paths and Processes.,indexing
385,COSY - A System Specification Language Based on Paths and Processes.,CNN
386,Applying relation algebra and Rel View to solve problems on orders and lattices.,indexing
387,Applying relation algebra and Rel View to solve problems on orders and lattices.,data storage
388,Eliminating Unit Productions from LR Parsers.,tensor flow
389,Eliminating Unit Productions from LR Parsers.,data processing
390,Attribute (Re)evaluation in OPTRAN.,big data
391,Attribute (Re)evaluation in OPTRAN.,python
392,Attribute (Re)evaluation in OPTRAN.,data processing
393,On Parallel Integer Sorting.,neo4j
394,On Parallel Integer Sorting.,data storage
395,On Parallel Integer Sorting.,data querying
396,Domain Independence and the Relational Calculus.,data management
397,Domain Independence and the Relational Calculus.,data processing
